adduser	3.134
libqt5quick5:arm64	5.15.8+dfsg-3
libqt5svg5:arm64	5.15.8-3
libqt5test5:arm64	5.15.8+dfsg-11+deb12u3
libqt5waylandclient5:arm64	5.15.8-2
libqt5waylandcompositor5:arm64	5.15.8-2
libqt5widgets5:arm64	5.15.8+dfsg-11+deb12u3
librabbitmq4:arm64	0.11.0-1+deb12u2
libraqm0:arm64	0.7.0-4.1
librav1e0:arm64	0.5.1-6
libraw1394-11:arm64	2.1.2-2
librdmacm1:arm64	44.0-2
libreadline8:arm64	8.2-1.3
librhash0:arm64	1.4.3-3
librist4:arm64	0.2.7+dfsg-1
librpicam-app1:arm64	1.9.0-1~bpo12+1
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1
librsvg2-common:arm64	2.54.7+dfsg-1~deb12u1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b2
librttopo1:arm64	1.1.0-3
librubberband2:arm64	3.1.2+dfsg0-1
libsamplerate0:arm64	0.2.2-3
libsasl2-2:arm64	2.1.28+dfsg-10
libsasl2-modules:arm64	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10
libsdl2-2.0-0:arm64	2.26.5+dfsg-1
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:arm64	3.4-1+b5
libsensors-config	1:3.6.0-7.1
libsensors5:arm64	1:3.6.0-7.1
libsepol2:arm64	3.4-2.1
libserd-0-0:arm64	0.30.16-1
libshine3:arm64	3.1.1-2
libslang2:arm64	2.3.3-3
libsm6:arm64	2:1.2.3-1
libsmartcols1:arm64	2.38.1-5+deb12u3
libsnappy1v5:arm64	1.1.9-3
libsndfile1:arm64	1.2.0-1+deb12u1
libsndio7.0:arm64	1.9.0-0.3+b2
libsocket++1:arm64	1.12.13+git20131030.5d039ba-1+b1
libsodium-dev:arm64	1.0.18-1+deb12u1
libsodium23:arm64	1.0.18-1+deb12u1
libsord-0-0:arm64	0.16.14+git221008-1
libsort-naturally-perl	1.03-4
libsource-highlight-common	3.1.9-4.2
libsource-highlight4v5:arm64	3.1.9-4.2+b3
libsoxr0:arm64	0.1.3-4
libspatialite7:arm64	5.0.1-3
libspeex1:arm64	1.2.1-2
libsphinxbase3:arm64	0.8+5prealpha+1-16
libsqlite3-0:arm64	3.40.1-2+deb12u2
libsratom-0-0:arm64	0.6.14-1
libsrt1.5-gnutls:arm64	1.5.1-1+deb12u1
libss2:arm64	1.47.0-2+b2
libssh-gcrypt-4:arm64	0.10.6-0+deb12u2
libssh2-1:arm64	1.10.0-3+b1
libssl-dev:arm64	3.0.20-1~deb12u2+rpt1
libssl3:arm64	3.0.20-1~deb12u2+rpt1
libstdc++-12-dev:arm64	12.2.0-14+deb12u1
libstdc++-arm-none-eabi-dev	15:12.2.rel1-1+23
libstdc++-arm-none-eabi-newlib	15:12.2.rel1-1+23
libstdc++6:arm64	12.2.0-14+deb12u1
libstemmer0d:arm64	2.2.0-2
libsuperlu5:arm64	5.3.0+dfsg1-2+b1
libsvtav1enc1:arm64	1.4.1+dfsg-1
libswresample-dev:arm64	8:5.1.9-0+deb12u1+rpt1
libswresample4:arm64	8:5.1.9-0+deb12u1+rpt1
libswscale6:arm64	8:5.1.9-0+deb12u1+rpt1
libsystemd-shared:arm64	252.39-1~deb12u2
libsystemd0:arm64	252.39-1~deb12u2
libsz2:arm64	1.0.6-1+b1
libtalloc2:arm64	2.4.0-f2
libtasn1-6:arm64	4.19.0-2+deb12u1
libtbb12:arm64	2021.8.0-2+deb12u1
libtbbbind-2-5:arm64	2021.8.0-2+deb12u1
libtbbmalloc2:arm64	2021.8.0-2+deb12u1
libtcl8.6:arm64	8.6.13+dfsg-2
libteamdctl0:arm64	1.31-1
libterm-readkey-perl	2.38-2+b1
libtesseract5:arm64	5.3.0-2
libtext-charwidth-perl:arm64	0.04-11
libtext-iconv-perl:arm64	1.7-8
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-1
libthai0:arm64	0.1.29-1
libtheora0:arm64	1.1.1+dfsg.1-16.1+deb12u1
libtiff6:arm64	4.5.0-6+deb12u4
libtinfo6:arm64	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev:arm64	1.3.3+ds-1
libtirpc3:arm64	1.3.3+ds-1
libtk8.6:arm64	8.6.13-2
libtsan2:arm64	12.2.0-14+deb12u1
libtwolame0:arm64	0.4.0-2
libubsan1:arm64	12.2.0-14+deb12u1
libuchardet0:arm64	0.0.7-1
libucx0:arm64	1.13.1-1
libudev1:arm64	252.39-1~deb12u2
libudfread0:arm64	1.1.2-1
libudisks2-0:arm64	2.9.4-4+deb12u2
libunistring2:arm64	1.0-2
libunwind8:arm64	1.6.2-3
liburiparser1:arm64	0.9.7+dfsg-2
libusageenvironment3:arm64	2025.05.24-1~bpo12+1
libusb-0.1-4:arm64	2:0.1.12-32
libusb-1.0-0:arm64	2:1.0.26-1
libusb-1.0-0-dev:arm64	2:1.0.26-1
libusb-1.0-doc	2:1.0.26-1
libusb-dev	2:0.1.12-32
libuuid1:arm64	2.38.1-5+deb12u3
libuv1:arm64	1.44.2-1+deb12u1
libv4l-0:arm64	1.22.1-5+b2
libv4l2rds0:arm64	1.22.1-5+b2
libv4lconvert0:arm64	1.22.1-5+b2
libva-drm2:arm64	2.17.0-1
libva-x11-2:arm64	2.17.0-1
libva2:arm64	2.17.0-1
libvdpau-va-gl1:arm64	0.4.2-1+b1
libvdpau1:arm64	1.5-2
libvidstab1.1:arm64	1.1.0-2+b1
libvisual-0.4-0:arm64	0.4.0-19
libvolume-key1:arm64	0.3.12-5+b1
libvorbis0a:arm64	1.3.7-1
libvorbisenc2:arm64	1.3.7-1
libvorbisfile3:arm64	1.3.7-1
libvpx7:arm64	1.12.0-1+deb12u5
libvtk9.1:arm64	9.1.0+really9.1.0+dfsg2-5+deb12u1
libvulkan1:arm64	1.3.239.0-1
libwacom-common	2.6.0-1
libwacom9:arm64	2.6.0-1
libwayland-client0:arm64	1.23.1-3+rpt1
libwayland-cursor0:arm64	1.23.1-3+rpt1
libwayland-egl1:arm64	1.23.1-3+rpt1
libwayland-server0:arm64	1.23.1-3+rpt1
libwbclient0:arm64	2:4.17.12+dfsg-0+deb12u4
libwebp7:arm64	1.2.4-0.2+deb12u1
libwebpdemux2:arm64	1.2.4-0.2+deb12u1
libwebpmux3:arm64	1.2.4-0.2+deb12u1
libwrap0:arm64	7.6.q-32
libx11-6:arm64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-xcb1:arm64	2:1.8.4-2+deb12u2
libx264-164:arm64	2:0.164.3095+gitbaee400-3
libx265-199:arm64	3.5-2+b1
libxau6:arm64	1:1.0.9-1
libxcb-dri2-0:arm64	1.15-1
libxcb-dri3-0:arm64	1.15-1
libxcb-glx0:arm64	1.15-1
libxcb-icccm4:arm64	0.4.1-1.1
libxcb-image0:arm64	0.4.0-2
libxcb-keysyms1:arm64	0.4.0-1+b2
libxcb-present0:arm64	1.15-1
libxcb-randr0:arm64	1.15-1
libxcb-render-util0:arm64	0.3.9-1+b1
libxcb-render0:arm64	1.15-1
libxcb-shape0:arm64	1.15-1
libxcb-shm0:arm64	1.15-1
libxcb-sync1:arm64	1.15-1
libxcb-util1:arm64	0.4.0-1+b1
libxcb-xfixes0:arm64	1.15-1
libxcb-xinerama0:arm64	1.15-1
libxcb-xinput0:arm64	1.15-1
libxcb-xkb1:arm64	1.15-1
libxcb1:arm64	1.15-1
libxcomposite1:arm64	1:0.4.5-1
libxcursor1:arm64	1:1.2.1-1
libxdamage1:arm64	1:1.1.6-1
libxdmcp6:arm64	1:1.1.2-3
libxerces-c3.2:arm64	3.2.4+debian-1
libxext6:arm64	2:1.3.4-1+b1
libxfixes3:arm64	1:6.0.0-2
libxft2:arm64	2.3.6-1
libxi6:arm64	2:1.8-1+b1
libxinerama1:arm64	2:1.1.4-3
libxkbcommon-x11-0:arm64	1.5.0-1
libxkbcommon0:arm64	1.5.0-1
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6
libxmlb2:arm64	0.3.22-1~deb12u1
libxmuu1:arm64	2:1.1.3-3
libxnvctrl0:arm64	525.85.05-3~deb12u1
libxpm4:arm64	1:3.5.12-1.1+deb12u1
libxrandr2:arm64	2:1.5.2-2+b1
libxrender1:arm64	1:0.9.10-1.1
libxshmfence1:arm64	1.3-1
libxsimd-dev:arm64	8.1.0-7
libxslt1.1:arm64	1.1.35-1+deb12u4
libxss1:arm64	1:1.2.3-1
libxtables12:arm64	1.8.9-2
libxtst6:arm64	2:1.2.3-1.1
libxv1:arm64	2:1.0.11-1.1
libxvidcore4:arm64	2:1.3.7-1
libxxf86vm1:arm64	1:1.1.4-1+b2
libxxhash0:arm64	0.8.1-1
libyaml-0-2:arm64	0.2.5-1
libyuv0:arm64	0.0~git20230123.b2528b0-1
libz3-4:arm64	4.8.12-3.1
libzimg2:arm64	3.0.4+ds1-1
libzmq5:arm64	4.3.4-6
libzstd1:arm64	1.5.4+dfsg2-5
libzvbi-common	0.2.41-1+deb12u1
libzvbi0:arm64	0.2.41-1+deb12u1
linux-base	4.12.1~deb12u1
linux-headers-6.12.25+rpt-common-rpi	1:6.12.25-1+rpt1
linux-headers-6.12.34+rpt-common-rpi	1:6.12.34-1+rpt1~bookworm
linux-headers-6.12.47+rpt-common-rpi	1:6.12.47-1+rpt1~bookworm
linux-headers-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1~bookworm
linux-headers-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1~bookworm
linux-headers-6.12.75+rpt-common-rpi	1:6.12.75-1+rpt1~bookworm
linux-headers-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1~bookworm
linux-headers-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1~bookworm
linux-headers-6.12.96+rpt-common-rpi	1:6.12.96-1+rpt1
linux-headers-6.12.96+rpt-rpi-2712	1:6.12.96-1+rpt1
linux-headers-6.12.96+rpt-rpi-v8	1:6.12.96-1+rpt1
linux-headers-rpi-2712	1:6.12.96-1+rpt1
linux-headers-rpi-v8	1:6.12.96-1+rpt1
linux-image-6.12.25+rpt-rpi-2712	1:6.12.25-1+rpt1
linux-image-6.12.25+rpt-rpi-v8	1:6.12.25-1+rpt1
linux-image-6.12.34+rpt-rpi-2712	1:6.12.34-1+rpt1~bookworm
linux-image-6.12.34+rpt-rpi-v8	1:6.12.34-1+rpt1~bookworm
linux-image-6.12.47+rpt-rpi-2712	1:6.12.47-1+rpt1~bookworm
linux-image-6.12.47+rpt-rpi-v8	1:6.12.47-1+rpt1~bookworm
linux-image-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1~bookworm
linux-image-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1~bookworm
linux-image-6.12.96+rpt-rpi-2712	1:6.12.96-1+rpt1
linux-image-6.12.96+rpt-rpi-v8	1:6.12.96-1+rpt1
linux-image-rpi-2712	1:6.12.96-1+rpt1
linux-image-rpi-v8	1:6.12.96-1+rpt1
linux-kbuild-6.12.25+rpt	1:6.12.25-1+rpt1
linux-kbuild-6.12.34+rpt	1:6.12.34-1+rpt1~bookworm
linux-kbuild-6.12.47+rpt	1:6.12.47-1+rpt1~bookworm
linux-kbuild-6.12.75+rpt	1:6.12.75-1+rpt1~bookworm
linux-kbuild-6.12.96+rpt	1:6.12.96-1+rpt1
linux-libc-dev	1:6.12.96-1+rpt1
locales	2.36-9+rpt2+deb12u14
login	1:4.13+dfsg1-1+deb12u2
logrotate	3.21.0-1
logsave	1.47.0-2+b2
lsb-release	12.0-1
lua-lpeg:arm64	1.0.2-2
lua5.1	5.1.5-9
luajit	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
make	4.3-4.1
man-db	2.11.2-2
manpages	6.03-2
manpages-dev	6.03-2
mariadb-common	1:10.11.18-0+deb12u1
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mesa-libgallium:arm64	24.2.8-1~bpo12+rpt5
mesa-va-drivers:arm64	24.2.8-1~bpo12+rpt5
mesa-vdpau-drivers:arm64	24.2.8-1~bpo12+rpt5
mesa-vulkan-drivers:arm64	24.2.8-1~bpo12+rpt5
mkvtoolnix	74.0.0-1
modemmanager	1.20.4-1
mount	2.38.1-5+deb12u3
mysql-common	5.8+1.1.0
nano	7.2-1+deb12u1
ncdu	1.18-0.2
ncurses-base	6.4-4
ncurses-bin	6.4-4
ncurses-term	6.4-4
needrestart	3.6-4+deb12u3
net-tools	2.10-0.1+deb12u2
netbase	6.4
network-manager	1.42.4-1+rpt1+deb12u1
nfs-common	1:2.6.2-4+deb12u1
nftables	1.0.6-2+deb12u2
nginx	1.22.1-9+deb12u9
nginx-common	1.22.1-9+deb12u9
nmap	7.93+dfsg1-1
nmap-common	7.93+dfsg1-1
ntfs-3g	1:2022.10.3-1+deb12u3
ocl-icd-libopencl1:arm64	2.3.1-1
openssh-client	1:9.2p1-2+deb12u10
openssh-server	1:9.2p1-2+deb12u10
openssh-sftp-server	1:9.2p1-2+deb12u10
openssl	3.0.20-1~deb12u2+rpt1
p7zip	16.02+really26.01+dfsg-0+deb12u1
p7zip-full	16.02+really26.01+dfsg-0+deb12u1
packagekit	1.2.6-5+deb12u1
packagekit-tools	1.2.6-5+deb12u1
parted	3.5-3
passwd	1:4.13+dfsg1-1+deb12u2
pastebinit	1.6.2-1+rpt2
patch	2.7.6-7
pci.ids	0.0~2023.04.11-1
pciutils	1:3.9.0-4
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
pi-bluetooth	0.1.20
pigpio	1.79-1+rpt1
pigpio-tools	1.79-1+rpt1
pigpiod	1.79-1+rpt1
pigz	2.6-1
pinentry-curses	1.2.1-1
pkexec	122-3
pkg-config:arm64	1.8.1-1
pkgconf:arm64	1.8.1-1
pkgconf-bin	1.8.1-1
pocketsphinx-en-us	0.8+5prealpha+1-15
policykit-1	122-3
polkitd	122-3
polkitd-pkla	122-3
poppler-data	0.4.12-1
ppp	2.4.9-1+1.1+b1
procps	2:4.0.2-3
proj-bin	9.1.1-1+b1
proj-data	9.1.1-1
psmisc	23.6-1
publicsuffix	20230209.2326-1
python-apt-common	2.6.0
python-is-python3	3.11.2-1+deb12u1
python-matplotlib-data	3.6.3-1
python3	3.11.2-1+b1
python3-all	3.11.2-1+b1
python3-all-dev	3.11.2-1+b1
python3-appdirs	1.4.4-3
python3-apt	2.6.0
python3-attr	22.2.0-1
python3-beniget	0.4.1-3
python3-brotli	1.0.9-2+b6
python3-bs4	4.11.2-2
python3-certifi	2022.9.24-1
python3-chardet	5.1.0+dfsg-2
python3-charset-normalizer	3.0.1-2
python3-colorzero	2.0-2
python3-contourpy	1.0.7-1+b1
python3-cycler	0.11.0-1
python3-dateutil	2.8.2-2
python3-debconf	1.5.82
python3-decorator	5.1.1-3
python3-dev	3.11.2-1+b1
python3-distlib	0.3.6-1
python3-distro	1.8.0-1
python3-distutils	3.11.2-3
python3-filelock	3.9.0-1+deb12u1
python3-fonttools	4.38.0-1+deb12u1
python3-fs	2.4.16-2
python3-gast	0.5.2-2
python3-gpiozero	2.0.1-0+rpt1
python3-html5lib	1.1-3
python3-idna	3.3-1+deb12u1
python3-iniparse	0.5-1
python3-kiwisolver	1.4.4-1+b1
python3-lgpio	0.2.2-1~rpt1
python3-lib2to3	3.11.2-3
python3-libgpiod:arm64	1.6.3-1+b3
python3-lxml:arm64	4.9.2-1+b1
python3-lz4	4.0.2+dfsg-1+b2
python3-matplotlib	3.6.3-1+b1
python3-minimal	3.11.2-1+b1
python3-mpmath	1.2.1-2
python3-numpy	1:1.24.2-1+deb12u1
python3-olefile	0.46-3
python3-opencv:arm64	4.6.0+dfsg-12
python3-packaging	23.0-1
python3-pigpio	1.79-1+rpt1
python3-pil:arm64	9.4.0-1.1+deb12u1
python3-pil.imagetk:arm64	9.4.0-1.1+deb12u1
python3-pip	23.0.1+dfsg-1+rpt1
python3-pip-whl	23.0.1+dfsg-1+rpt1
python3-pkg-resources	66.1.1-1+deb12u2
python3-platformdirs	2.6.0-1
python3-ply	3.11-5
python3-psutil	5.9.4-1+b1
python3-pycryptodome	3.11.0+dfsg1-4
python3-pyparsing	3.0.9-1
python3-pythran	0.11.0+ds-7
python3-requests	2.28.1+dfsg-1
python3-rpi-lgpio	0.6-0~rpt1
python3-scipy	1.10.1-2
python3-serial	3.5-1.1
python3-setuptools	66.1.1-1+deb12u2
python3-setuptools-whl	66.1.1-1+deb12u2
python3-six	1.16.0-4
python3-smbus2	0.4.2-1
python3-soupsieve	2.3.2-1
python3-spidev	20200602~200721-1+bookworm
python3-sympy	1.11.1-1
python3-tk:arm64	3.11.2-3
python3-toml	0.10.2-1
python3-tz	2022.7.1-4
python3-ufolib2	0.14.0+dfsg1-1
python3-urllib3	1.26.12-1+deb12u4
python3-venv	3.11.2-1+b1
python3-virtualenv	20.17.1+ds-1
python3-webencodings	0.5.1-5
python3-wheel	0.38.4-2
python3-wheel-whl	0.38.4-2
python3.11	3.11.2-6+deb12u8
python3.11-dev	3.11.2-6+deb12u8
python3.11-minimal	3.11.2-6+deb12u8
python3.11-venv	3.11.2-6+deb12u8
qt5-gtk-platformtheme:arm64	5.15.8+dfsg-11+deb12u3
qtwayland5:arm64	5.15.8-2
raspberrypi-archive-keyring	2021.1.1+rpt1
raspberrypi-net-mods	1.4.3
raspberrypi-sys-mods	20250930~bookworm
raspi-config	20250813
raspi-firmware	1:1.20260521-1~bookworm
raspi-gpio	0.20231127
raspi-utils	20251002-1~bookworm
raspi-utils-core	20251002-1~bookworm
raspi-utils-dt	20251002-1~bookworm
raspi-utils-eeprom	20251002-1~bookworm
raspi-utils-otp	20251002-1~bookworm
raspinfo	20251002-1~bookworm
read-edid	3.0.2-1.1
readline-common	8.2-1.3
rfkill	2.38.1-5+deb12u3
rpcbind	1.2.6-6+b1
rpcsvc-proto	1.4.3-1
rpi-eeprom	28.27-1
rpi-update	20230904
rpicam-apps-core	1.9.0-1~bpo12+1
rpicam-apps-lite	1.9.0-1~bpo12+1
rsync	3.2.7-1+deb12u6
runit-helper	2.15.2
sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1
sgml-base	1.31
shared-mime-info	2.2-1
ssh	1:9.2p1-2+deb12u10
ssh-import-id	5.10-1
stm32flash	0.7-1
strace	6.1-0.1
sudo	1.9.13p3-1+deb12u4
systemd	252.39-1~deb12u2
systemd-sysv	252.39-1~deb12u2
systemd-timesyncd	252.39-1~deb12u2
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tasksel	3.73
tasksel-data	3.73
tk8.6-blt2.5	2.5.3+dfsg-4.1
triggerhappy	0.5.0-1.1+b2
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
udev	252.39-1~deb12u2
udisks2	2.9.4-4+deb12u2
unicode-data	15.0.0-1
unixodbc-common	2.3.11-2+deb12u1
unzip	6.0-28
usb-modeswitch	2.6.1-3+b1
usb-modeswitch-data	20191128-5
usbutils	1:014-1+deb12u1
userconf-pi	0.11
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
uuid	1.6.2-1.5+b11
v4l-utils	1.22.1-5+b2
va-driver-all:arm64	2.17.0-1
vdpau-driver-all:arm64	1.5-2
vim-common	2:9.0.1378-2+deb12u2
vim-tiny	2:9.0.1378-2+deb12u2
virtualenv	20.17.1+ds-1
watchdog	5.16-2~rpt2
wget	1.21.3-1+deb12u1
whiptail	0.52.23-1+b1
wireless-regdb	2026.05.30-1~deb12u1
wireless-tools	30~pre9-14
wpasupplicant	2:2.10-12+deb12u3
x11-common	1:7.7+23
xauth	1:1.1.2-1
xdg-user-dirs	0.18-1
xkb-data	2.35.1-1
xml-core	0.18+nmu1
xxd	2:9.0.1378-2+deb12u2
xz-utils	5.4.1-1+deb12u1
zip	3.0-13
zlib1g:arm64	1:1.2.13.dfsg-1+rpt1
zlib1g-dev:arm64	1:1.2.13.dfsg-1+rpt1
zstd	1.5.4+dfsg2-5
